date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:58	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:53:58%20GMT	https://www.arteva.fr/wp-content/uploads/2019/06/edi-samse.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/06/edi-samse.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/)
14:53:58	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:53:58%20GMT	https://www.arteva.fr/wp-content/uploads/2019/10/edi-bricomarche.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/10/edi-bricomarche.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/)
14:53:59	101280/101280	UR-MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2014:53:56%20GMT	https://www.arteva.fr/wp-json/wp/v2/pages/9038	/home/barry/websites/EDI/www.arteva.fr/wp-json/wp/v2/pages/9038.json	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/)
14:53:59	323/323	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/vc/info.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/vc/info.png	(from https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css)
14:54:00	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:00%20GMT	https://www.arteva.fr/wp-content/uploads/2019/06/edi-ugap.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/06/edi-ugap.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/)
14:54:00	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:00%20GMT	https://www.arteva.fr/wp-content/uploads/2019/06/edi-supplyon.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/06/edi-supplyon.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/)
14:54:00	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:00%20GMT	https://www.arteva.fr/wp-content/uploads/2019/06/edi-el-corte-ingles.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/06/edi-el-corte-ingles.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/)
14:54:00	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:00%20GMT	https://www.arteva.fr/wp-content/uploads/2019/06/edi-galeries-lafayette.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/06/edi-galeries-lafayette.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/)
14:54:01	244/244	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/vc/tick.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/vc/tick.png	(from https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css)
14:54:02	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:02%20GMT	https://www.arteva.fr/wp-content/uploads/2019/10/edi_1001pneus.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/10/edi_1001pneus.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/)
14:54:02	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:02%20GMT	https://www.arteva.fr/wp-content/uploads/2019/09/b2apps_carrefour-300x139.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/09/b2apps_carrefour-300x139.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-carrefour/)
14:54:04	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:04%20GMT	https://www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Carrefour.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Carrefour.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-carrefour/)
14:54:05	495/495	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/vc/exclamation.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/vc/exclamation.png	(from https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css)
14:54:07	20994/20994	UR-MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2014:54:02%20GMT	https://www.arteva.fr/wp-json/wp/v2/pages/13035	/home/barry/websites/EDI/www.arteva.fr/wp-json/wp/v2/pages/13035.json	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-carrefour/)
14:54:07	804080/804080	UR-MCZ	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2017:54:45%20GMT	https://www.arteva.fr/wp-content/cache/min/1/7f0090f29c367de509254ef37fc7df91.js	/home/barry/websites/EDI/www.arteva.fr/wp-content/cache/min/1/7f0090f29c367de509254ef37fc7df91.js	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/)
14:54:08	712/712	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/address-book.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/address-book.png	(from https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css)
14:54:09	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:08%20GMT	https://www.arteva.fr/wp-content/uploads/2019/10/Sch%c3%a9ma-B2AppsAuchan-1024x844.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/10/Sch%c3%a9ma-B2AppsAuchan-1024x844.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-auchan/)
14:54:10	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:09%20GMT	https://www.arteva.fr/wp-content/uploads/2019/10/Sch%c3%a9ma-B2AppsAuchan.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/10/Sch%c3%a9ma-B2AppsAuchan.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-auchan/)
14:54:10	841/841	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	(from https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css)
14:54:11	818416/818416	UR-MCZ	200	added ('OK')	application/javascript	date:Tue,%2018%20May%202021%2017:55:21%20GMT	https://www.arteva.fr/wp-content/cache/min/1/a2d604b289339ac869eb90c75e7ed5fd.js	/home/barry/websites/EDI/www.arteva.fr/wp-content/cache/min/1/a2d604b289339ac869eb90c75e7ed5fd.js	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-carrefour/)
14:54:12	22634/22634	UR-MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2014:54:06%20GMT	https://www.arteva.fr/wp-json/wp/v2/pages/13055	/home/barry/websites/EDI/www.arteva.fr/wp-json/wp/v2/pages/13055.json	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-auchan/)
14:54:12	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:11%20GMT	https://www.arteva.fr/wp-content/uploads/2019/10/Sch%c3%a9ma-B2Apps-Syst%c3%a8meU-1024x844.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/10/Sch%c3%a9ma-B2Apps-Syst%c3%a8meU-1024x844.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-systeme-u/)
14:54:12	21245/21245	UR-MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2014:54:11%20GMT	https://www.arteva.fr/wp-json/wp/v2/pages/13063	/home/barry/websites/EDI/www.arteva.fr/wp-json/wp/v2/pages/13063.json	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-systeme-u/)
14:54:12	694/694	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/anchor.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/anchor.png	(from https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css)
14:54:13	544/544	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/application-image.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/application-image.png	(from https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css)
14:54:14	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:14%20GMT	https://www.arteva.fr/wp-content/uploads/2019/10/Sch%c3%a9ma-B2Apps-Syst%c3%a8meU.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/10/Sch%c3%a9ma-B2Apps-Syst%c3%a8meU.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-systeme-u/)
14:54:14	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:14%20GMT	https://www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Cora-1024x844.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Cora-1024x844.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-cora/)
14:54:14	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:14%20GMT	https://www.arteva.fr/wp-content/uploads/2019/09/cora_b2apps-300x139.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/09/cora_b2apps-300x139.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-cora/)
14:54:15	590/590	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/arrow.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/arrow.png	(from https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css)
14:54:16	20887/20887	UR-MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2014:54:14%20GMT	https://www.arteva.fr/wp-json/wp/v2/pages/13080	/home/barry/websites/EDI/www.arteva.fr/wp-json/wp/v2/pages/13080.json	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-cora/)
14:54:16	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:16%20GMT	https://www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Cora.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Cora.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-cora/)
14:54:16	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:16%20GMT	https://www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Casino-1024x844.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Casino-1024x844.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-casino/)
14:54:17	682/682	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jul%202020%2008:38:50%20GMT	https://www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/asterisk.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/plugins/js_composer/assets/images/icons/asterisk.png	(from https://www.arteva.fr/wp-content/cache/min/1/1f692784e4806fc51aae043288d77900.css)
14:54:18	20694/20694	UR-MC-	200	added ('OK')	application/json	date:Tue,%2009%20Nov%202021%2014:54:16%20GMT	https://www.arteva.fr/wp-json/wp/v2/pages/13084	/home/barry/websites/EDI/www.arteva.fr/wp-json/wp/v2/pages/13084.json	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-casino/)
14:54:18	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2009%20Nov%202021%2014:54:18%20GMT	https://www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Casino.png	/home/barry/websites/EDI/www.arteva.fr/wp-content/uploads/2019/09/Sch%c3%a9ma-B2Apps-Casino.png	(from https://www.arteva.fr/solution-edi/plateforme-edi-partenaires/edi-casino/)
